protein,freq,pdbid,study,study_type,study_name
ZNF83,59,,blca_bgi,bladder,Bladder Urothelial Carcinoma
KDM6A,36,3AVR,blca_bgi,bladder,Bladder Urothelial Carcinoma
TP53,30,1A1U,blca_bgi,bladder,Bladder Urothelial Carcinoma
PIK3CA,27,2ENQ,blca_bgi,bladder,Bladder Urothelial Carcinoma
FMN2,26,2YLE,blca_bgi,bladder,Bladder Urothelial Carcinoma
ARID1A,21,1RYU,blca_bgi,bladder,Bladder Urothelial Carcinoma
FGFR3,19,1RY7,blca_bgi,bladder,Bladder Urothelial Carcinoma
CREBBP,18,1JSP,blca_bgi,bladder,Bladder Urothelial Carcinoma
HRAS,18,121P,blca_bgi,bladder,Bladder Urothelial Carcinoma
ERBB2,17,1MFG,blca_bgi,bladder,Bladder Urothelial Carcinoma
STAG2,16,4PJU,blca_bgi,bladder,Bladder Urothelial Carcinoma
RB1,15,1AD6,blca_bgi,bladder,Bladder Urothelial Carcinoma
AQP7,15,,blca_bgi,bladder,Bladder Urothelial Carcinoma
EP300,14,1L3E,blca_bgi,bladder,Bladder Urothelial Carcinoma
SYNE2,14,4DXS,blca_bgi,bladder,Bladder Urothelial Carcinoma
SYNE1,13,4DXR,blca_bgi,bladder,Bladder Urothelial Carcinoma
ZNF233,13,,blca_bgi,bladder,Bladder Urothelial Carcinoma
HMCN1,13,,blca_bgi,bladder,Bladder Urothelial Carcinoma
KRTAP5-10,12,,blca_bgi,bladder,Bladder Urothelial Carcinoma
XIRP2,11,4F14,blca_bgi,bladder,Bladder Urothelial Carcinoma
ERCC2,11,5IVW,blca_bgi,bladder,Bladder Urothelial Carcinoma
PRG4,11,,blca_bgi,bladder,Bladder Urothelial Carcinoma
TTN,10,1BPV,blca_bgi,bladder,Bladder Urothelial Carcinoma
CSMD3,10,,blca_bgi,bladder,Bladder Urothelial Carcinoma
NOTCH2,10,2OO4,blca_bgi,bladder,Bladder Urothelial Carcinoma
ESRRA,9,1XB7,blca_bgi,bladder,Bladder Urothelial Carcinoma
ZFP36L1,9,1W0V,blca_bgi,bladder,Bladder Urothelial Carcinoma
ESPL1,9,,blca_bgi,bladder,Bladder Urothelial Carcinoma
ERBB3,9,1M6B,blca_bgi,bladder,Bladder Urothelial Carcinoma
PLXNB2,9,4E71,blca_bgi,bladder,Bladder Urothelial Carcinoma
FGFRL1,9,,blca_bgi,bladder,Bladder Urothelial Carcinoma
KRAS,9,1D8D,blca_bgi,bladder,Bladder Urothelial Carcinoma
KMT2A,9,2AGH,blca_bgi,bladder,Bladder Urothelial Carcinoma
DCHS2,9,,blca_bgi,bladder,Bladder Urothelial Carcinoma
DNAH8,9,,blca_bgi,bladder,Bladder Urothelial Carcinoma
RELN,9,,blca_bgi,bladder,Bladder Urothelial Carcinoma
GOLGB1,8,,blca_bgi,bladder,Bladder Urothelial Carcinoma
ACTB,8,3BYH,blca_bgi,bladder,Bladder Urothelial Carcinoma
MACF1,8,4Z6G,blca_bgi,bladder,Bladder Urothelial Carcinoma
AHNAK,8,4DRW,blca_bgi,bladder,Bladder Urothelial Carcinoma
DMXL1,8,,blca_bgi,bladder,Bladder Urothelial Carcinoma
UBR4,8,,blca_bgi,bladder,Bladder Urothelial Carcinoma
CABIN1,8,1N6J,blca_bgi,bladder,Bladder Urothelial Carcinoma
ANK3,8,4O6X,blca_bgi,bladder,Bladder Urothelial Carcinoma
NF1,8,1NF1,blca_bgi,bladder,Bladder Urothelial Carcinoma
NFE2L3,8,,blca_bgi,bladder,Bladder Urothelial Carcinoma
VPS13B,8,,blca_bgi,bladder,Bladder Urothelial Carcinoma
NHS,7,,blca_bgi,bladder,Bladder Urothelial Carcinoma
PKHD1,7,,blca_bgi,bladder,Bladder Urothelial Carcinoma
TG,7,,blca_bgi,bladder,Bladder Urothelial Carcinoma
TP53,33,1A1U,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
PIK3CA,18,2ENQ,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
RB1,15,1AD6,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
FGFR3,14,1RY7,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
TSC1,7,4Z6Y,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
KRAS,4,1D8D,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
PTEN,2,1D5R,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
CDKN2A,2,1A5E,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
BRAF,2,1UWH,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
AKT1,2,1H10,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
AKT3,1,2X18,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
SUCLG2,1,,blca_mskcc_solit_2012,bladder,"Bladder Cancer (MSKCC, JCO 2013)"
TP53,78,1A1U,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
KMT2D,56,3UVK,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
KDM6A,48,3AVR,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
ARID1A,41,1RYU,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
RB1,28,1AD6,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
PIK3CA,25,2ENQ,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
FGFR3,22,1RY7,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
EP300,21,1L3E,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
KMT2C,19,2YSM,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
CREBBP,18,1JSP,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
STAG2,18,4PJU,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
FAT1,16,,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
ERBB3,15,1M6B,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
NF1,15,1NF1,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
SETD2,14,2A7O,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
NOTCH1,14,1PB5,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
ERBB2,14,1MFG,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
CDKN1A,14,1AXC,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
KMT2A,13,2AGH,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
ATRX,12,2JM1,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
ATM,10,,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
RICTOR,10,,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
SMARCA4,10,2GRC,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
PBRM1,9,2KTB,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
NOTCH3,8,4ZLP,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
